season,checkpoint,predictor,spearman
2021,preseason,fan_attn,-0.0946865201380636
2021,preseason,crowd_all,0.05326502081281723
2021,preseason,media_buzz,-0.29036672338975844
2021,preseason,fan_buzz,-0.03252760456507596
2021,preseason,crowd_buzz,-0.03444049518917507
2021,preseason,stats_baseline,0.35376741660337113
2021,25%,media_attn,0.11802390851688001
2021,25%,media_tone,0.13970679776424
2021,25%,fan_attn,-0.0763324845022201
2021,25%,crowd_all,0.08360236053137764
2021,25%,media_buzz,-0.12812616373439997
2021,25%,fan_buzz,-0.08478914459284508
2021,25%,crowd_buzz,-0.028609596080644544
2021,25%,stats_baseline,0.5605875465337973
2021,50%,media_attn,0.3499692592825356
2021,50%,media_tone,0.23339499192997268
2021,50%,fan_attn,0.016254738132983396
2021,50%,crowd_all,0.26194986235022927
2021,50%,media_buzz,0.1222427835240406
2021,50%,fan_buzz,0.4039191092223545
2021,50%,crowd_buzz,0.3950534857424684
2021,50%,stats_baseline,0.7029617573401175
2021,75%,media_attn,0.29052144060362395
2021,75%,media_tone,0.28912997798897616
2021,75%,fan_attn,-0.03829456801109009
2021,75%,crowd_all,0.2940521347187618
2021,75%,media_buzz,0.0978555850482724
2021,75%,fan_buzz,0.17210291321263163
2021,75%,crowd_buzz,0.3426183865278413
2021,75%,stats_baseline,0.5766449485390892
2022,preseason,media_attn,0.3761864389996862
2022,preseason,media_tone,0.13014546323800463
2022,preseason,fan_attn,0.22959592866804526
2022,preseason,crowd_all,0.37172780635083486
2022,preseason,media_buzz,-0.05817107826547177
2022,preseason,fan_buzz,0.03451733166202427
2022,preseason,crowd_buzz,0.01126855415796445
2022,preseason,stats_baseline,0.5417038897449546
2022,25%,media_attn,0.24944547120617552
2022,25%,media_tone,0.05545971444801333
2022,25%,fan_attn,0.14382727287886163
2022,25%,crowd_all,0.17791889483065956
2022,25%,media_buzz,-0.20088741011169273
2022,25%,fan_buzz,-0.12423470319876899
2022,25%,crowd_buzz,-0.20849120196853277
2022,25%,stats_baseline,0.4490706027812134
2022,50%,media_attn,0.26269101268315054
2022,50%,media_tone,0.18284871614530743
2022,50%,fan_attn,0.17783220101483974
2022,50%,crowd_all,0.2303408560090396
2022,50%,media_buzz,-0.1631345688520128
2022,50%,fan_buzz,0.0024482530803044264
2022,50%,crowd_buzz,-0.027391159283481837
2022,50%,stats_baseline,0.6714890493889505
2022,75%,media_attn,0.012817356227985303
2022,75%,media_tone,0.23465621402003864
2022,75%,fan_attn,0.08994770625860696
